,Unnamed: 0,play_id,game_id,yardline_100,quarter_seconds_remaining,drive,sp,qtr,down,goal_to_go,ydstogo,ydsnet,play_type,yards_gained,yards_after_catch,home_timeouts_remaining,away_timeouts_remaining,timeout,total_home_score,total_away_score,score_differential,td_prob,ep,epa,wp,wpa,first_down_rush,first_down_pass,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_lost,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,fumble,complete_pass,lateral_reception,lateral_rush,fumble_recovery_1_yards,fumble_recovery_2_yards
ydsnet,0.104160474,0.011657255,0.10551106,-0.549859009,-0.067034717,-0.044096705,0.337841539,0.008800428,-0.000656898,0.284910802,-0.104745212,1,0.122870285,0.258574219,0.149230367,-0.018740883,-0.009455537,0.025522823,0.008888906,0.012039467,-0.022140267,0.222364001,0.56599076,0.217295635,0.073986775,0.154642095,0.1146062,0.208689018,0.113821661,-0.061588077,0.055364896,0.018668206,-0.039197952,-0.024006062,-0.01907616,-0.022681592,-0.024260783,-0.004624852,0.080631251,-0.080409957,0.226291487,0.20392588,0.134806001,-0.028578891,0.155736217,-0.003536208,0.006591763,-0.002867424,-0.000310786
sp,0.000705201,0.00176704,0.000739188,-0.354454491,-0.022343955,-0.01820466,1,-0.000490942,0.016898579,0.237678387,-0.175150693,0.337841539,0.291274699,0.064736414,0.027925144,-0.01402322,-0.007520115,-0.055938946,0.061927245,0.056482949,0.063286704,-0.146406121,0.135783766,0.204237049,0.093463301,0.160374162,0.063710057,0.084722482,0.041953512,-0.080105955,0.029116293,-0.017545793,-0.111414445,0.014930084,-0.00545169,-0.009313512,0.003882458,-0.104194685,-0.084492793,-0.035514751,0.615082165,0.474737949,0.340947358,-0.010086401,-0.001671953,-0.000461945,-0.001714406,0.048856413,0.006687435
fourth_down_converted,0.002128329,0.032459725,0.001723393,-0.035151657,-0.015934834,0.026900015,0.029116293,0.030313032,0.142170001,0.014579875,-0.059562939,0.055364896,-0.02045405,0.052685999,0.020081609,-0.020486241,-0.02155092,-0.010244089,0.026261434,0.021082457,-0.034081994,-0.048135483,-0.010645733,0.14737678,-0.036503477,0.108902682,0.114171035,0.085009424,-0.017973927,-0.023023846,1,-0.004921411,-0.029010866,-0.007378862,-0.005309674,-0.001044769,-0.005979301,0.025096775,0.01727062,-0.011868736,0.064113436,0.05226267,0.043048599,-0.004928917,0.049615373,0.00964847,0.004584328,-0.002176887,-0.000228514
rush_touchdown,8.71E-05,-0.002944764,-0.000303023,-0.139648941,0.000986022,-0.00864342,0.340947358,-0.00042856,0.006473363,0.280824315,-0.063290845,0.134806001,0.005123039,0.073949714,-0.028584328,0.004637824,0.008094158,-0.018593638,0.021472455,0.01913826,0.013533434,0.192817551,0.180346521,0.146633148,0.04594141,0.098328163,0.353490567,-0.037549822,0.042800381,-0.030254934,0.043048599,-0.007020305,-0.038122294,-0.009696337,-0.0087336,-0.005956736,-0.007857217,0.143914962,-0.080695837,-0.015596344,0.554265341,-0.012576758,1,-0.010576949,-0.053794345,-0.001374604,-0.000584522,-0.002688584,-0.000300283
total_home_score,0.026534495,0.697589096,0.025776566,-0.060473238,-0.190014016,0.670239963,0.061927245,0.658710466,-0.05594457,0.013341319,-0.049250847,0.008888906,0.032506587,-0.007588736,-0.004678118,-0.218876752,-0.213576004,0.050322949,1,0.388387279,-0.041311464,-0.143187321,-0.013368403,0.011708522,-0.043396368,-0.001611339,-0.014067083,0.007193735,-0.012150274,-0.015636291,0.026261434,0.037640218,-0.004180441,0.01037765,0.001516039,-0.004783696,0.001389029,-0.037051149,-0.003735969,-0.001558588,0.047165175,0.038714683,0.021472455,-0.001423822,-0.005278752,0.010796072,-0.002679033,0.004313876,0.002421906
total_away_score,0.005164306,0.690779735,0.00596733,-0.059149111,-0.18867364,0.655668579,0.056482949,0.649587438,-0.055560977,0.011106873,-0.048116824,0.012039467,0.034930442,-0.00643412,-0.003919916,-0.23033153,-0.209475095,0.055023899,0.388387279,1,-0.027023886,-0.14286173,-0.012423527,0.011507291,-0.032212766,0.003536314,-0.013492742,0.006754621,-0.01472194,-0.01565044,0.021082457,0.034753558,-0.001064108,0.010303585,-0.000978385,-0.004761243,-0.002239088,-0.039692879,-0.002506693,-0.002912972,0.041571051,0.034313188,0.01913826,-0.003858947,-0.006228187,0.015134327,-0.000285554,0.003228815,0.001653564
away_timeouts_remaining,0.012808988,-0.327277601,0.012094961,0.082059333,0.372491682,-0.294626927,-0.007520115,-0.236510194,0.06924229,-0.013291961,0.086190664,-0.009455537,-0.109165001,0.048874099,0.028129372,0.340921657,1,-0.211325756,-0.213576004,-0.209475095,0.001631376,0.310292274,0.029615546,0.01105848,0.021669749,0.018634809,0.039442023,0.018781706,0.022728378,0.005303236,-0.02155092,-0.042332568,-0.000913981,-0.007124942,0.003601402,0.001797237,0.002642791,0.072487594,0.027063842,0.00352134,0.004377779,-0.00178428,0.008094158,0.004169492,0.033042628,-0.026559243,0.000280204,0.002460736,-0.002082821
pass_attempt,0.006868974,0.006250958,0.007413641,0.146691856,0.010097403,0.004024062,-0.084492793,0.009455385,0.174267091,0.00333744,0.279248271,0.080631251,-0.46311617,0.254413208,0.35422308,0.023302563,0.027063842,-0.160512016,-0.003735969,-0.002506693,-0.146756904,0.170736151,0.07814947,0.010753281,-0.096951092,-0.008040741,-0.228102964,0.465299,0.157658406,0.259416453,0.01727062,0.046358156,0.472419591,0.120159074,0.040676963,-0.035158626,0.016684064,-0.560669842,1,0.193273213,0.082362199,0.155853869,-0.080695837,0.013044141,0.66663098,0.017034386,-0.005222885,0.013358251,-0.000642817
game_id,0.995450208,0.010996747,1,0.001684048,-0.010136835,-0.02317622,0.000739188,0.000875278,-0.01057016,0.000728264,0.000869098,0.10551106,-0.002571997,0.001981341,0.009352652,0.00812391,0.012094961,0.001639258,0.025776566,0.00596733,-0.006542162,-0.002857096,0.004248235,0.009258265,-0.007883764,0.003386798,-0.002549957,0.006631928,-0.001833276,-0.006804592,0.001723393,-0.001877652,-0.007830335,-0.008494043,-0.006234934,-0.002093358,-0.007291925,-0.014418431,0.007413641,0.003417698,0.00139463,0.004061091,-0.000303023,-0.00604226,0.014738247,0.002962239,0.000285445,0.000150371,-3.44E-05
Unnamed: 0,1,0.010664431,0.995450208,0.001679463,-0.009988789,-0.022846387,0.000705201,0.00106849,-0.010123599,0.0007504,0.000641688,0.104160474,-0.002492187,0.001766266,0.008774833,0.009656191,0.012808988,0.001466245,0.026534495,0.005164306,-0.00641358,-0.002679535,0.004322896,0.009138428,-0.007589979,0.003263535,-0.001926963,0.00597846,-0.001937132,-0.006444978,0.002128329,-0.001406122,-0.007553936,-0.008458373,-0.006418145,-0.002222085,-0.00757296,-0.013455126,0.006868974,0.003508234,0.001427221,0.003838062,8.71E-05,-0.006256269,0.013850563,0.002955546,0.000168418,-0.000218494,-0.000171503
home_timeouts_remaining,0.009656191,-0.329616791,0.00812391,0.088388363,0.36922008,-0.294282143,-0.01402322,-0.235339527,0.075326848,-0.014776285,0.089360424,-0.018740883,-0.107765244,0.047463692,0.026347949,1,0.340921657,-0.211683294,-0.218876752,-0.23033153,0.001677801,0.303333108,0.020620692,0.009051266,0.019713337,0.018071971,0.041747613,0.014273926,0.023315037,0.010313222,-0.020486241,-0.038259399,-0.003588181,-0.007723844,0.003063689,0.004114157,0.001620012,0.077910593,0.023302563,0.006129858,0.000305976,-0.003879757,0.004637824,0.004971966,0.030173374,-0.033070402,0.000105695,0.000851574,-0.002988801
yardline_100,0.001679463,-0.072748721,0.001684048,1,0.146280755,-0.034952356,-0.354454491,-0.047431889,0.185339103,-0.37325982,0.379179742,-0.549859009,-0.011842485,0.151121493,0.107909259,0.088388363,0.082059333,-0.022598759,-0.060473238,-0.059149111,-0.040961617,-0.153948293,-0.651335611,0.008909307,-0.048156634,0.024674883,-0.007143971,0.06561686,0.017677189,0.039226743,-0.035151657,-0.033155705,0.035309917,0.018314116,0.017918523,0.020889936,0.015128495,0.086189275,0.146691856,0.038483682,-0.188733027,-0.149347929,-0.139648941,0.026752883,0.1264381,0.011495532,6.96E-05,-0.001689153,-0.001966613
quarter_seconds_remaining,-0.009988789,-0.274945351,-0.010136835,0.146280755,1,-0.250275711,-0.022343955,-0.032981178,0.067847307,-0.023199592,0.086775018,-0.067034717,-0.057648997,0.045245758,0.022013125,0.36922008,0.372491682,-0.144841641,-0.190014016,-0.18867364,0.013874558,0.328148198,0.007278563,0.007854484,0.048059992,0.028409017,0.038112892,0.009399435,0.018162888,0.005884386,-0.015934834,-0.032013196,-0.008113278,-0.006901893,0.007144871,0.006508829,0.005994791,0.08595121,0.010097403,0.00301828,-0.005811011,-0.010941253,0.000986022,0.009746424,0.019276391,-0.018565291,-0.001508804,0.001654296,-0.001556877
lateral_rush,0.000168418,-0.001277616,0.000285445,6.96E-05,-0.001508804,-0.001507036,-0.001714406,-0.001863824,0.001588855,0.000282836,0.001250629,0.006591763,0.000331579,-0.00010701,-0.001850067,0.000105695,0.000280204,-0.001280102,-0.002679033,-0.000285554,0.000270657,0.002556515,0.002179575,0.00479841,0.000818118,0.004060089,0.012777357,-0.002430341,0.004654051,-0.000706541,0.004584328,-0.000454376,-0.002467393,-0.000627577,-0.000611843,0.041219242,-0.000508543,0.009314624,-0.005222885,-0.001009444,-0.001054589,-0.000814007,-0.000584522,0.023393929,-0.003481737,-8.90E-05,1,-0.000175426,-1.94E-05
goal_to_go,0.0007504,0.012262318,0.000728264,-0.37325982,-0.023199592,-0.006590711,0.237678387,0.01206234,0.046278672,1,-0.08745954,0.284910802,0.017059608,-0.068823716,-0.050024949,-0.014776285,-0.013291961,-0.031520983,0.013341319,0.011106873,-9.60E-05,0.35447542,0.422188393,0.002295929,0.077537443,-0.002873424,0.053034737,0.002118764,0.000504577,0.010368841,0.014579875,0.021728045,0.03346273,-0.001270641,-0.003177559,-0.002028709,-0.000529316,0.056991918,0.00333744,-0.008161422,0.322032835,0.210918838,0.280824315,-0.004008719,-0.019523613,-0.00185305,0.000282836,0.000661197,0.004923463
score_differential,-0.00641358,-0.021379332,-0.006542162,-0.040961617,0.013874558,-0.018337805,0.063286704,-0.015956525,-0.000780651,-9.60E-05,-0.032194094,-0.022140267,0.138617895,-0.02169442,-0.031288177,0.001677801,0.001631376,0.038848571,-0.041311464,-0.027023886,1,-0.041329155,0.008863088,-0.000764555,0.87110577,-0.005075402,0.026764826,-0.057315368,0.004229387,0.00518185,-0.034081994,-0.047521529,-0.07345405,-0.032443577,-0.013970818,-0.00378427,-0.009541951,0.123274098,-0.146756904,-0.038722065,-0.005066622,-0.011857682,0.013533434,-0.013859556,-0.087108333,-0.004614485,0.000270657,-0.004556114,0.001095712
timeout,0.001466245,0.091552556,0.001639258,-0.022598759,-0.144841641,0.078126149,-0.055938946,0.059151964,-0.279023662,-0.031520983,-0.29389007,0.025522823,0.376969762,-0.091555381,-0.058661167,-0.211683294,-0.211325756,1,0.050322949,0.055023899,0.038848571,-0.362820709,0.03668951,-0.001306746,0.072083186,-0.008987489,-0.052791792,-0.071201326,-0.042241567,-0.059350226,-0.010244089,-0.009301013,-0.077611969,-0.01747886,-0.01016974,-0.012126577,-0.007154452,-0.132019155,-0.160512016,-0.032131598,-0.032468595,-0.025227254,-0.018593638,-0.015458482,-0.105657049,-0.003010378,-0.001280102,-0.001072358,4.33E-05
lateral_reception,0.002955546,0.020551243,0.002962239,0.011495532,-0.018565291,0.019290316,-0.000461945,0.01548333,0.003867844,-0.00185305,0.007431811,-0.003536208,-0.008294292,0.009569752,-0.001165887,-0.033070402,-0.026559243,-0.003010378,0.010796072,0.015134327,-0.004614485,-0.015236303,-0.007269667,-0.002349778,-0.017633492,-0.00666585,-0.003888658,0.006891438,-0.000308067,-0.000878714,0.00964847,0.015686571,-0.005802499,-0.001475855,0.023556844,0.060986487,0.053146338,-0.009551502,0.017034386,-0.00237388,0.003063148,0.000451924,-0.001374604,0.052145903,0.025552947,1,-8.90E-05,0.005841144,-0.01648129
down,-0.010123599,-0.03366057,-0.01057016,0.185339103,0.067847307,-0.041766902,0.016898579,-0.012874386,1,0.046278672,0.237080027,-0.000656898,0.063160863,0.038067021,0.047094244,0.075326848,0.06924229,-0.279023662,-0.05594457,-0.055560977,-0.000780651,0.0067938,-0.137352416,-0.004636661,0.05585202,0.058408396,0.069794567,0.11194142,0.276355943,0.354039204,0.142170001,0.145224764,0.095827782,0.029743375,0.018327579,0.048932216,0.021519538,-0.063785146,0.174267091,0.061011706,0.038826226,0.037341566,0.006473363,0.043028874,0.097486949,0.003867844,0.001588855,0.005475716,0.003478197
qtr,0.00106849,0.954770753,0.000875278,-0.047431889,-0.032981178,0.91754015,-0.000490942,1,-0.012874386,0.01206234,-0.012817098,0.008800428,0.033980417,-0.014493977,-0.01088337,-0.235339527,-0.236510194,0.059151964,0.658710466,0.649587438,-0.015956525,-0.112726129,0.009706674,-0.011406155,-0.009208044,-0.008985962,-0.015803047,-0.001134767,-0.012760792,0.005943392,0.030313032,0.051491856,0.012563113,0.012740426,0.003007152,-0.00118893,0.00183342,-0.01940365,0.009455385,0.00644837,0.002890041,0.003460167,-0.00042856,0.001744478,-0.00719963,0.01548333,-0.001863824,0.000731037,0.001020074
wp,-0.007589979,-0.026061089,-0.007883764,-0.048156634,0.048059992,-0.02601619,0.093463301,-0.009208044,0.05585202,0.077537443,0.040513905,0.073986775,0.243937965,0.005122186,-0.018660989,0.019713337,0.021669749,0.072083186,-0.043396368,-0.032212766,0.87110577,0.136162204,0.214207558,-0.011597331,1,-0.024288496,0.061079358,-0.033210603,0.016589335,0.01322887,-0.036503477,-0.051237187,-0.047896772,-0.029839808,-0.010530704,-0.005189616,-0.008506306,0.198779928,-0.096951092,-0.029921982,0.03696098,0.019748334,0.04594141,-0.011754667,-0.054283269,-0.017633492,0.000818118,-0.001645351,0.001779306
play_id,0.010664431,1,0.010996747,-0.072748721,-0.274945351,0.962119675,0.00176704,0.954770753,-0.03366057,0.012262318,-0.031468637,0.011657255,0.046984906,-0.025130985,-0.016085532,-0.329616791,-0.327277601,0.091552556,0.697589096,0.690779735,-0.021379332,-0.192099694,-0.003418677,-0.012146174,-0.026061089,-0.015556612,-0.026897345,-0.004059318,-0.019268842,0.002009929,0.032459725,0.057799087,0.014647246,0.014770799,0.001146986,-0.002236413,0.000282833,-0.040968748,0.006250958,0.004695152,0.001637717,0.004314697,-0.002944764,-0.000419143,-0.012513934,0.020551243,-0.001277616,0.000302313,0.001229641
drive,-0.022846387,0.962119675,-0.02317622,-0.034952356,-0.250275711,1,-0.01820466,0.91754015,-0.041766902,-0.006590711,-0.022554921,-0.044096705,0.030996776,-0.02137308,-0.015089608,-0.294282143,-0.294626927,0.078126149,0.670239963,0.655668579,-0.018337805,-0.179022901,-0.026731073,-0.013655408,-0.02601619,-0.016760612,-0.025221224,-0.00656215,-0.022543663,-0.001794574,0.026900015,0.051406153,0.013197114,0.014167965,0.00170265,-0.001015229,0.000725772,-0.027888705,0.004024062,0.005820776,-0.008132585,-0.004431991,-0.00864342,0.000758178,-0.013787301,0.019290316,-0.001507036,-0.000258388,0.000929866
td_prob,-0.002679535,-0.192099694,-0.002857096,-0.153948293,0.328148198,-0.179022901,-0.146406121,-0.112726129,0.0067938,0.35447542,0.167198015,0.222364001,-0.278249212,0.118561174,0.047408057,0.303333108,0.310292274,-0.362820709,-0.143187321,-0.14286173,-0.041329155,1,0.653752129,-0.015810591,0.136162204,-0.02945016,0.176338952,0.094480523,0.033515144,-0.032058044,-0.048135483,-0.065703409,0.094254626,0.00902555,0.014065171,-0.00274845,0.009520245,0.31462115,0.170736151,0.01780973,0.213491116,0.136953972,0.192817551,0.010080481,0.116462967,-0.015236303,0.002556515,0.007091203,-0.000436452
fumble_recovery_2_yards,-0.000171503,0.001229641,-3.44E-05,-0.001966613,-0.001556877,0.000929866,0.006687435,0.001020074,0.003478197,0.004923463,-0.002282517,-0.000310786,-0.000461168,-0.001860275,-0.001173278,-0.002988801,-0.002082821,4.33E-05,0.002421906,0.001653564,0.001095712,-0.000436452,0.000776873,-0.019244188,0.001779306,-0.016374222,-0.000849481,-0.001248526,-0.000785328,0.003588951,-0.000228514,0.012706732,-0.001267561,-0.000322402,0.031765134,0.026133823,0.038217539,0.002595943,-0.000642817,0.003155872,0.011210188,-0.000418175,-0.000300283,0.025970837,-0.000810241,-0.01648129,-1.94E-05,0.006147284,1
play_type,-0.002492187,0.046984906,-0.002571997,-0.011842485,-0.057648997,0.030996776,0.291274699,0.033980417,0.063160863,0.017059608,-0.058935265,0.122870285,1,-0.185711463,-0.172467425,-0.107765244,-0.109165001,0.376969762,0.032506587,0.034930442,0.138617895,-0.278249212,0.010316572,-0.021687043,0.243937965,0.010074285,0.014542831,-0.226532884,-0.100673125,-0.127134694,-0.02045405,-0.024974587,-0.200810505,-0.043079026,-0.037085067,0.007762137,-0.023337968,0.092588235,-0.46311617,-0.094098815,-0.060172291,-0.075887525,0.005123039,-0.025974012,-0.324572823,-0.008294292,0.000331579,-0.010194907,-0.000461168
ydstogo,0.000641688,-0.031468637,0.000869098,0.379179742,0.086775018,-0.022554921,-0.175150693,-0.012817098,0.237080027,-0.08745954,1,-0.104745212,-0.058935265,0.175077707,0.124935793,0.089360424,0.086190664,-0.29389007,-0.049250847,-0.048116824,-0.032194094,0.167198015,-0.050061246,-0.021805593,0.040513905,-0.002381988,-0.11019578,0.029658437,-0.105354904,0.073464698,-0.059562939,-0.019393925,0.11578879,0.038908734,0.019906345,0.013074125,0.014364701,0.129456522,0.279248271,0.056185717,-0.043861782,-0.01295847,-0.063290845,0.023810251,0.201999179,0.007431811,0.001250629,0.009038184,-0.002282517
rush_attempt,-0.013455126,-0.040968748,-0.014418431,0.086189275,0.08595121,-0.027888705,-0.104194685,-0.01940365,-0.063785146,0.056991918,0.129456522,-0.004624852,0.092588235,0.02564086,-0.198602301,0.077910593,0.072487594,-0.132019155,-0.037051149,-0.039692879,0.123274098,0.31462115,0.198867259,-0.030229483,0.198779928,-0.027384713,0.406874395,-0.260888416,-0.01922985,-0.086305636,0.025096775,-0.005373751,-0.264894586,-0.067375462,-0.003976574,0.027697844,0.00751912,1,-0.560669842,-0.108341658,0.006141149,-0.087390207,0.143914962,0.012780576,-0.373747425,-0.009551502,0.009314624,0.00031138,0.002595943
ep,0.004322896,-0.003418677,0.004248235,-0.651335611,0.007278563,-0.026731073,0.135783766,0.009706674,-0.137352416,0.422188393,-0.050061246,0.56599076,0.010316572,0.029061194,-0.01306879,0.020620692,0.029615546,0.03668951,-0.013368403,-0.012423527,0.008863088,0.653752129,1,-0.040354865,0.214207558,-0.070419341,0.128193179,0.049937553,-0.000779462,-0.072217623,-0.010645733,-0.016265165,0.06226465,0.003878565,-0.000740203,-0.0274436,-0.004369599,0.198867259,0.07814947,-0.005364542,0.227604119,0.171786389,0.180346521,-0.016328158,0.041927138,-0.007269667,0.002179575,0.008144019,0.000776873
fumble_not_forced,-0.002222085,-0.002236413,-0.002093358,0.020889936,0.006508829,-0.001015229,-0.009313512,-0.00118893,0.048932216,-0.002028709,0.013074125,-0.022681592,0.007762137,-0.030290831,-0.016206697,0.004114157,0.001797237,-0.012126577,-0.004783696,-0.004761243,-0.00378427,-0.00274845,-0.0274436,-0.046170918,-0.005189616,-0.02675233,-0.014560207,-0.02309714,-0.013800268,0.009779534,-0.001044769,0.029706373,-0.019026346,-0.002369155,0.002480456,1,0.223894858,0.027697844,-0.035158626,0.009777142,-0.000246907,-0.008011347,-0.005956736,0.57399366,-0.028029294,0.060986487,0.041219242,0.040626358,0.026133823
fourth_down_failed,-0.001406122,0.057799087,-0.001877652,-0.033155705,-0.032013196,0.051406153,-0.017545793,0.051491856,0.145224764,0.021728045,-0.019393925,0.018668206,-0.024974587,-0.039713152,-0.018689206,-0.038259399,-0.042332568,-0.009301013,0.037640218,0.034753558,-0.047521529,-0.065703409,-0.016265165,-0.135543678,-0.051237187,-0.068546754,-0.019739144,-0.029189205,-0.018360127,-0.023518553,-0.004921411,1,0.074497919,0.041652745,0.017251252,0.029706373,0.019710794,-0.005373751,0.046358156,0.028055311,-0.009392739,-0.009776493,-0.007020305,0.031179819,-0.02676801,0.015686571,-0.000454376,0.006929164,0.012706732
